geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Boston,driving,NA,Massachusetts,United States,2020-08-15,120.66
city,Boston,driving,NA,Massachusetts,United States,2020-08-16,97.58
city,Boston,driving,NA,Massachusetts,United States,2020-08-17,114.82
city,Boston,driving,NA,Massachusetts,United States,2020-08-18,120.55
city,Boston,driving,NA,Massachusetts,United States,2020-08-19,121.54
city,Boston,driving,NA,Massachusetts,United States,2020-08-20,128.31
city,Boston,driving,NA,Massachusetts,United States,2020-08-21,140.02
city,Boston,driving,NA,Massachusetts,United States,2020-08-22,125.66
city,Boston,driving,NA,Massachusetts,United States,2020-08-23,104.04
city,Boston,driving,NA,Massachusetts,United States,2020-08-24,115.46
city,Boston,driving,NA,Massachusetts,United States,2020-08-25,119.84
city,Boston,driving,NA,Massachusetts,United States,2020-08-26,125.94
city,Boston,driving,NA,Massachusetts,United States,2020-08-27,119.7
city,Boston,driving,NA,Massachusetts,United States,2020-08-28,140.06
city,Boston,driving,NA,Massachusetts,United States,2020-08-29,117.4
city,Boston,driving,NA,Massachusetts,United States,2020-08-30,115.02
city,Boston,driving,NA,Massachusetts,United States,2020-08-31,120.63
city,Boston,driving,NA,Massachusetts,United States,2020-09-01,131.55
city,Boston,driving,NA,Massachusetts,United States,2020-09-02,119.4
city,Boston,driving,NA,Massachusetts,United States,2020-09-03,130.15
city,Boston,driving,NA,Massachusetts,United States,2020-09-04,150
city,Boston,driving,NA,Massachusetts,United States,2020-09-05,129.35
city,Boston,driving,NA,Massachusetts,United States,2020-09-06,108.18
city,Boston,driving,NA,Massachusetts,United States,2020-09-07,103.89
city,Boston,driving,NA,Massachusetts,United States,2020-09-08,118.43
city,Boston,driving,NA,Massachusetts,United States,2020-09-09,120.27
city,Boston,driving,NA,Massachusetts,United States,2020-09-10,118.88
city,Boston,driving,NA,Massachusetts,United States,2020-09-11,140.76
city,Boston,driving,NA,Massachusetts,United States,2020-09-12,138.51
city,Boston,driving,NA,Massachusetts,United States,2020-09-13,103.88
city,Boston,driving,NA,Massachusetts,United States,2020-09-14,110.81
city,Boston,driving,NA,Massachusetts,United States,2020-09-15,115.1
city,Boston,driving,NA,Massachusetts,United States,2020-09-16,115.58
city,Boston,driving,NA,Massachusetts,United States,2020-09-17,120.45
city,Boston,transit,NA,Massachusetts,United States,2020-01-13,100
city,Boston,transit,NA,Massachusetts,United States,2020-01-14,100.59
city,Boston,transit,NA,Massachusetts,United States,2020-01-15,105.25
city,Boston,transit,NA,Massachusetts,United States,2020-01-16,104.49
city,Boston,transit,NA,Massachusetts,United States,2020-01-17,111.98
