geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Seattle,driving,NA,Washington,United States,2020-08-20,154.2
city,Seattle,driving,NA,Washington,United States,2020-08-21,166.87
city,Seattle,driving,NA,Washington,United States,2020-08-22,156.74
city,Seattle,driving,NA,Washington,United States,2020-08-23,131.5
city,Seattle,driving,NA,Washington,United States,2020-08-24,142.15
city,Seattle,driving,NA,Washington,United States,2020-08-25,147.73
city,Seattle,driving,NA,Washington,United States,2020-08-26,153
city,Seattle,driving,NA,Washington,United States,2020-08-27,156.43
city,Seattle,driving,NA,Washington,United States,2020-08-28,174.23
city,Seattle,driving,NA,Washington,United States,2020-08-29,152.99
city,Seattle,driving,NA,Washington,United States,2020-08-30,130.39
city,Seattle,driving,NA,Washington,United States,2020-08-31,142.95
city,Seattle,driving,NA,Washington,United States,2020-09-01,151.98
city,Seattle,driving,NA,Washington,United States,2020-09-02,152.75
city,Seattle,driving,NA,Washington,United States,2020-09-03,157.15
city,Seattle,driving,NA,Washington,United States,2020-09-04,180.24
city,Seattle,driving,NA,Washington,United States,2020-09-05,150.59
city,Seattle,driving,NA,Washington,United States,2020-09-06,131.2
city,Seattle,driving,NA,Washington,United States,2020-09-07,129.78
city,Seattle,driving,NA,Washington,United States,2020-09-08,152.57
city,Seattle,driving,NA,Washington,United States,2020-09-09,146.23
city,Seattle,driving,NA,Washington,United States,2020-09-10,151.91
city,Seattle,driving,NA,Washington,United States,2020-09-11,158.72
city,Seattle,driving,NA,Washington,United States,2020-09-12,132.85
city,Seattle,driving,NA,Washington,United States,2020-09-13,107.71
city,Seattle,driving,NA,Washington,United States,2020-09-14,128.75
city,Seattle,driving,NA,Washington,United States,2020-09-15,131.77
city,Seattle,driving,NA,Washington,United States,2020-09-16,134.79
city,Seattle,driving,NA,Washington,United States,2020-09-17,137.37
city,Seattle,transit,NA,Washington,United States,2020-01-13,100
city,Seattle,transit,NA,Washington,United States,2020-01-14,96.87
city,Seattle,transit,NA,Washington,United States,2020-01-15,91.73
city,Seattle,transit,NA,Washington,United States,2020-01-16,98.76
city,Seattle,transit,NA,Washington,United States,2020-01-17,101.14
city,Seattle,transit,NA,Washington,United States,2020-01-18,87.91
city,Seattle,transit,NA,Washington,United States,2020-01-19,74.18
city,Seattle,transit,NA,Washington,United States,2020-01-20,85.34
city,Seattle,transit,NA,Washington,United States,2020-01-21,96.4
city,Seattle,transit,NA,Washington,United States,2020-01-22,101
city,Seattle,transit,NA,Washington,United States,2020-01-23,96.28
city,Seattle,transit,NA,Washington,United States,2020-01-24,101.77
city,Seattle,transit,NA,Washington,United States,2020-01-25,84.87
city,Seattle,transit,NA,Washington,United States,2020-01-26,67.68
city,Seattle,transit,NA,Washington,United States,2020-01-27,91.74
city,Seattle,transit,NA,Washington,United States,2020-01-28,90.86
city,Seattle,transit,NA,Washington,United States,2020-01-29,91.42
city,Seattle,transit,NA,Washington,United States,2020-01-30,94.16
city,Seattle,transit,NA,Washington,United States,2020-01-31,101.58
city,Seattle,transit,NA,Washington,United States,2020-02-01,82.44
city,Seattle,transit,NA,Washington,United States,2020-02-02,69.04
city,Seattle,transit,NA,Washington,United States,2020-02-03,86.72
city,Seattle,transit,NA,Washington,United States,2020-02-04,87.53
city,Seattle,transit,NA,Washington,United States,2020-02-05,91.01
city,Seattle,transit,NA,Washington,United States,2020-02-06,96.06
city,Seattle,transit,NA,Washington,United States,2020-02-07,100.93
city,Seattle,transit,NA,Washington,United States,2020-02-08,88.72
city,Seattle,transit,NA,Washington,United States,2020-02-09,74.21
city,Seattle,transit,NA,Washington,United States,2020-02-10,87.83
city,Seattle,transit,NA,Washington,United States,2020-02-11,91.12
city,Seattle,transit,NA,Washington,United States,2020-02-12,93.78
city,Seattle,transit,NA,Washington,United States,2020-02-13,96.92
city,Seattle,transit,NA,Washington,United States,2020-02-14,106.16
city,Seattle,transit,NA,Washington,United States,2020-02-15,87.23
city,Seattle,transit,NA,Washington,United States,2020-02-16,77.76
city,Seattle,transit,NA,Washington,United States,2020-02-17,93.15
city,Seattle,transit,NA,Washington,United States,2020-02-18,99.91
city,Seattle,transit,NA,Washington,United States,2020-02-19,100.33
city,Seattle,transit,NA,Washington,United States,2020-02-20,100.63
city,Seattle,transit,NA,Washington,United States,2020-02-21,106.4
city,Seattle,transit,NA,Washington,United States,2020-02-22,86.98
city,Seattle,transit,NA,Washington,United States,2020-02-23,70.28
city,Seattle,transit,NA,Washington,United States,2020-02-24,87.48
city,Seattle,transit,NA,Washington,United States,2020-02-25,91.37
city,Seattle,transit,NA,Washington,United States,2020-02-26,92.77
city,Seattle,transit,NA,Washington,United States,2020-02-27,98.57
city,Seattle,transit,NA,Washington,United States,2020-02-28,104.73
city,Seattle,transit,NA,Washington,United States,2020-02-29,101.58
city,Seattle,transit,NA,Washington,United States,2020-03-01,72.42
city,Seattle,transit,NA,Washington,United States,2020-03-02,80.1
city,Seattle,transit,NA,Washington,United States,2020-03-03,79.48
city,Seattle,transit,NA,Washington,United States,2020-03-04,79.71
city,Seattle,transit,NA,Washington,United States,2020-03-05,75.94
city,Seattle,transit,NA,Washington,United States,2020-03-06,75.1
city,Seattle,transit,NA,Washington,United States,2020-03-07,71.83
city,Seattle,transit,NA,Washington,United States,2020-03-08,56.04
city,Seattle,transit,NA,Washington,United States,2020-03-09,65.82
city,Seattle,transit,NA,Washington,United States,2020-03-10,63.26
city,Seattle,transit,NA,Washington,United States,2020-03-11,59.54
city,Seattle,transit,NA,Washington,United States,2020-03-12,53.57
city,Seattle,transit,NA,Washington,United States,2020-03-13,50.86
city,Seattle,transit,NA,Washington,United States,2020-03-14,41.79
city,Seattle,transit,NA,Washington,United States,2020-03-15,35.71
city,Seattle,transit,NA,Washington,United States,2020-03-16,37.39
city,Seattle,transit,NA,Washington,United States,2020-03-17,31.54
city,Seattle,transit,NA,Washington,United States,2020-03-18,30.28
city,Seattle,transit,NA,Washington,United States,2020-03-19,28.25
city,Seattle,transit,NA,Washington,United States,2020-03-20,28.76
city,Seattle,transit,NA,Washington,United States,2020-03-21,24.23
city,Seattle,transit,NA,Washington,United States,2020-03-22,20.55
city,Seattle,transit,NA,Washington,United States,2020-03-23,23.25
city,Seattle,transit,NA,Washington,United States,2020-03-24,21.11
city,Seattle,transit,NA,Washington,United States,2020-03-25,19.25
city,Seattle,transit,NA,Washington,United States,2020-03-26,17.98
city,Seattle,transit,NA,Washington,United States,2020-03-27,17.77
city,Seattle,transit,NA,Washington,United States,2020-03-28,15.88
city,Seattle,transit,NA,Washington,United States,2020-03-29,15.89
city,Seattle,transit,NA,Washington,United States,2020-03-30,17.38
city,Seattle,transit,NA,Washington,United States,2020-03-31,17.2
city,Seattle,transit,NA,Washington,United States,2020-04-01,17.98
city,Seattle,transit,NA,Washington,United States,2020-04-02,17.33
city,Seattle,transit,NA,Washington,United States,2020-04-03,17.59
city,Seattle,transit,NA,Washington,United States,2020-04-04,15.43
city,Seattle,transit,NA,Washington,United States,2020-04-05,14.52
city,Seattle,transit,NA,Washington,United States,2020-04-06,18.36
